index,Лемма,Часть речи,Частота (ipm)
5397,выполняться,v,17.7
5398,затянуться,v,17.7
5399,импульс,s,17.7
5400,киевский,a,17.7
5401,классика,s,17.7
5402,крошечный,a,17.7
5403,крыса,s,17.7
5404,крючок,s,17.7
5405,культ,s,17.7
5406,минеральный,a,17.7
5407,натянуть,v,17.7
5408,неудобно,adv,17.7
5409,обвинить,v,17.7
5410,объятие,s,17.7
5411,отличать,v,17.7
5412,переписка,s,17.7
5413,подбирать,v,17.7
5414,превращать,v,17.7
5415,расспрашивать,v,17.7
5416,санаторий,s,17.7
5417,скульптура,s,17.7
5418,сынок,s,17.7
5419,формулировка,s,17.7
5420,хата,s,17.7
5421,шов,s,17.7
5422,эффективно,adv,17.7
5423,акционерный,a,17.6
5424,былой,a,17.6
5425,внутрь,adv,17.6
5426,выдерживать,v,17.6
5427,выложить,v,17.6
5428,деяние,s,17.6
5429,довестись,v,17.6
5430,довод,s,17.6
5431,договариваться,v,17.6
5432,должный,a,17.6
5433,издавать,v,17.6
5434,издалека,adv,17.6
5435,кандидатура,s,17.6
5436,комплект,s,17.6
5437,находка,s,17.6
5438,неизменно,adv,17.6
5439,отвращение,s,17.6
5440,плевать,v,17.6
5441,покраснеть,v,17.6
5442,породить,v,17.6
5443,приблизительно,adv,17.6
5444,привозить,v,17.6
5445,следственный,a,17.6
5446,солнышко,s,17.6
5447,спуск,s,17.6
5448,стадион,s,17.6
5449,увести,v,17.6
5450,чайка,s,17.6
5451,гордо,adv,17.5
5452,гром,s,17.5
5453,грунт,s,17.5
5454,завалить,v,17.5
5455,заверить,v,17.5
5456,зажать,v,17.5
5457,монета,s,17.5
5458,невинный,a,17.5
5459,обыск,s,17.5
5460,овца,s,17.5
5461,оснастить,v,17.5
5462,особняк,s,17.5
5463,повседневный,a,17.5
5464,слышный,a,17.5
5465,смутный,a,17.5
5466,совершаться,v,17.5
5467,сплошь,adv,17.5
5468,станок,s,17.5
5469,стоянка,s,17.5
5470,трясти,v,17.5
5471,тут-то,advpro,17.5
5472,тюремный,a,17.5
5473,финский,a,17.5
5474,десятка,s,17.4
5475,завоевать,v,17.4
5476,замерзнуть,v,17.4
5477,злость,s,17.4
5478,импортный,a,17.4
5479,капитализм,s,17.4
5480,клинический,a,17.4
5481,кошмар,s,17.4
5482,ликвидировать,v,17.4
5483,наследие,s,17.4
5484,обезьяна,s,17.4
5485,перемещение,s,17.4
5486,переспросить,v,17.4
5487,поблагодарить,v,17.4
5488,православие,s,17.4
5489,процентный,a,17.4
5490,распад,s,17.4
5491,самоубийство,s,17.4
5492,сражение,s,17.4
5493,старичок,s,17.4
5494,усадьба,s,17.4
5495,цвести,v,17.4
5496,благополучно,adv,17.3
5497,водиться,v,17.3
5498,го,s,17.3
5499,заря,s,17.3
5500,индийский,a,17.3
5501,истребитель,s,17.3
5502,комбинация,s,17.3
5503,мутный,a,17.3
5504,нехороший,a,17.3
5505,ничего,advpro,17.3
5506,оглядеть,v,17.3
5507,олимпиада,s,17.3
5508,откликнуться,v,17.3
5509,очаг,s,17.3
5510,папироса,s,17.3
5511,погладить,v,17.3
5512,разводить,v,17.3
5513,различать,v,17.3
5514,системный,a,17.3
5515,сознательно,adv,17.3
5516,справляться,v,17.3
5517,энтузиазм,s,17.3
5518,этакий,apro,17.3
5519,ять,s,17.3
5520,величие,s,17.2
5521,выписать,v,17.2
5522,географический,a,17.2
5523,греметь,v,17.2
5524,заряд,s,17.2
5525,классный,a,17.2
5526,компромисс,s,17.2
5527,купол,s,17.2
5528,ориентироваться,v,17.2
5529,отзыв,s,17.2
5530,плюнуть,v,17.2
5531,преодоление,s,17.2
5532,протекать,v,17.2
5533,репертуар,s,17.2
5534,рюкзак,s,17.2
5535,сено,s,17.2
5536,согласование,s,17.2
5537,ставиться,v,17.2
5538,тверской,a,17.2
5539,украшать,v,17.2
5540,фундамент,s,17.2
5541,жилище,s,17.1
5542,заводить,v,17.1
5543,заполнять,v,17.1
5544,изумление,s,17.1
5545,насекомое,s,17.1
5546,освещение,s,17.1
5547,плавание,s,17.1
5548,пленум,s,17.1
5549,позор,s,17.1
5550,предельно,adv,17.1
5551,прибегать,v,17.1
5552,присоединиться,v,17.1
5553,промежуточный,a,17.1
5554,прочность,s,17.1
5555,разбойник,s,17.1
5556,стройка,s,17.1
5557,убегать,v,17.1
5558,челюсть,s,17.1
5559,шепнуть,v,17.1
5560,аукцион,s,17.0
5561,благополучие,s,17.0
5562,вопль,s,17.0
5563,гражданство,s,17.0
5564,дипломатический,a,17.0
5565,катер,s,17.0
5566,лагерный,a,17.0
5567,опасение,s,17.0
5568,перебирать,v,17.0
5569,полноценный,a,17.0
5570,полночь,s,17.0
5571,прилавок,s,17.0
5572,противостоять,v,17.0
5573,прохладный,a,17.0
5574,скончаться,v,17.0
5575,субъективный,a,17.0
5576,чертеж,s,17.0
5577,чистить,v,17.0
5578,эмиграция,s,17.0
5579,эшелон,s,17.0
5580,аккуратный,a,16.9
5581,возражение,s,16.9
5582,интрига,s,16.9
5583,квадрат,s,16.9
5584,констатировать,v,16.9
5585,легендарный,a,16.9
5586,людской,a,16.9
5587,люсин,a,16.9
5588,обитатель,s,16.9
5589,перехватить,v,16.9
5590,пожить,v,16.9
5591,порция,s,16.9
5592,предельный,a,16.9
5593,растерянно,adv,16.9
5594,секция,s,16.9
5595,старец,s,16.9
5596,стукнуть,v,16.9
5597,угодить,v,16.9
5598,цыган,s,16.9
5599,шерсть,s,16.9
5600,ясность,s,16.9
5601,бывало,adv,16.8
5602,вал,s,16.8
5603,вмешаться,v,16.8
5604,вытереть,v,16.8
5605,грамота,s,16.8
5606,девяносто,num,16.8
5607,доброта,s,16.8
5608,документация,s,16.8
5609,единственно,adv,16.8
5610,занятость,s,16.8
5611,здравый,a,16.8
5612,коляска,s,16.8
5613,консерватория,s,16.8
5614,насквозь,adv,16.8
5615,обнаружиться,v,16.8
5616,органический,a,16.8
5617,очутиться,v,16.8
5618,порошок,s,16.8
5619,порядочный,a,16.8
5620,преступность,s,16.8
5621,прикладной,a,16.8
5622,примитивный,a,16.8
5623,размах,s,16.8
5624,расстрел,s,16.8
5625,растительный,a,16.8
5626,рвануть,v,16.8
5627,составление,s,16.8
5628,труппа,s,16.8
5629,уплата,s,16.8
5630,фашист,s,16.8
5631,чайный,a,16.8
5632,экономист,s,16.8
5633,алмаз,s,16.7
5634,влезть,v,16.7
5635,возрастной,a,16.7
5636,воровать,v,16.7
5637,восхищаться,v,16.7
5638,высказаться,v,16.7
5639,долгосрочный,a,16.7
5640,замечательно,adv,16.7
5641,изменяться,v,16.7
5642,интервал,s,16.7
5643,купе,s,16.7
5644,литр,s,16.7
5645,лысый,a,16.7
5646,минус,s,16.7
5647,обозначать,v,16.7
5648,обряд,s,16.7
5649,обслуживать,v,16.7
5650,отныне,adv,16.7
5651,переворот,s,16.7
5652,поворачивать,v,16.7
5653,поклониться,v,16.7
5654,поляк,s,16.7
5655,помереть,v,16.7
5656,предчувствие,s,16.7
5657,причинить,v,16.7
5658,провинциальный,a,16.7
5659,смертельный,a,16.7
5660,тупик,s,16.7
5661,упаковка,s,16.7
5662,футбольный,a,16.7
5663,хрупкий,a,16.7
5664,экспозиция,s,16.7
5665,выпивать,v,16.6
5666,дернуть,v,16.6
5667,дракон,s,16.6
5668,ежегодный,a,16.6
5669,жаждать,v,16.6
5670,заехать,v,16.6
5671,импорт,s,16.6
5672,инфляция,s,16.6
5673,колоссальный,a,16.6
5674,мыло,s,16.6
5675,налогообложение,s,16.6
5676,недоверие,s,16.6
5677,останавливать,v,16.6
5678,отчаянно,adv,16.6
5679,панель,s,16.6
5680,подводить,v,16.6
5681,разочарование,s,16.6
5682,сколь,advpro,16.6
5683,соединять,v,16.6
5684,сюрприз,s,16.6
5685,тропа,s,16.6
5686,упираться,v,16.6
5687,хвалить,v,16.6
5688,беженец,s,16.5
5689,вероятный,a,16.5
5690,в-третьих,adv,16.5
5691,досада,s,16.5
5692,древесина,s,16.5
5693,запасной,a,16.5
5694,издержки,s,16.5
5695,коммуникация,s,16.5
5696,любовница,s,16.5
5697,модуль,s,16.5
5698,нетерпение,s,16.5
5699,обманывать,v,16.5
5700,отразить,v,16.5
5701,парадный,a,16.5
5702,певица,s,16.5
5703,питерский,a,16.5
5704,подобие,s,16.5
5705,поединок,s,16.5
5706,прогрессивный,a,16.5
5707,пятьсот,num,16.5
5708,рельс,s,16.5
5709,святитель,s,16.5
5710,сжимать,v,16.5
5711,участковый,s,16.5
5712,яд,s,16.5
5713,видимый,a,16.4
5714,вмешиваться,v,16.4
5715,внучка,s,16.4
5716,горожанин,s,16.4
5717,дилер,s,16.4
5718,желающий,s,16.4
5719,кое-как,advpro,16.4
5720,кое-какой,apro,16.4
5721,кооператив,s,16.4
5722,кружиться,v,16.4
5723,митинг,s,16.4
5724,моделирование,s,16.4
5725,наложить,v,16.4
5726,обложка,s,16.4
5727,обоснование,s,16.4
5728,организованный,a,16.4
5729,парадокс,s,16.4
5730,пограничный,a,16.4
5731,прописать,v,16.4
5732,ресница,s,16.4
5733,рождество,s,16.4
5734,сугубо,adv,16.4
5735,трижды,adv,16.4
5736,удостоверение,s,16.4
5737,улучшить,v,16.4
5738,ухаживать,v,16.4
5739,ферма,s,16.4
5740,формально,adv,16.4
5741,вице-премьер,s,16.3
5742,временно,adv,16.3
5743,горка,s,16.3
5744,горшок,s,16.3
5745,декларация,s,16.3
5746,декоративный,a,16.3
5747,дизайнер,s,16.3
5748,добровольный,a,16.3
5749,добывать,v,16.3
5750,дрогнуть,v,16.3
5751,звенеть,v,16.3
5752,каблук,s,16.3
5753,кассета,s,16.3
5754,латинский,a,16.3
5755,микрофон,s,16.3
5756,недовольство,s,16.3
5757,недоступный,a,16.3
5758,ниже,adv,16.3
5759,оглядеться,v,16.3
5760,ограничиваться,v,16.3
5761,ожидаться,v,16.3
5762,осмотр,s,16.3
5763,отклонение,s,16.3
5764,паника,s,16.3
5765,пирог,s,16.3
5766,пожелание,s,16.3
5767,познакомить,v,16.3
5768,поистине,adv,16.3
5769,походка,s,16.3
5770,почерк,s,16.3
5771,равенство,s,16.3
5772,рекорд,s,16.3
5773,сознавать,v,16.3
5774,сталь,s,16.3
5775,табак,s,16.3
5776,тяга,s,16.3
5777,чересчур,adv,16.3
5778,шоу,s,16.3
5779,вправду,adv,16.2
5780,грузовой,a,16.2
5781,заменять,v,16.2
5782,запеть,v,16.2
5783,зрительный,a,16.2
5784,коза,s,16.2
5785,монолог,s,16.2
5786,небрежно,adv,16.2
5787,ниша,s,16.2
5788,овладеть,v,16.2
5789,параллельный,a,16.2
5790,побеждать,v,16.2
5791,почка,s,16.2
5792,предъявлять,v,16.2
5793,препятствовать,v,16.2
5794,пятерка,s,16.2
5795,раскрывать,v,16.2
5796,свод,s,16.2
5797,смотреться,v,16.2
5798,сознательный,a,16.2
5799,страстный,a,16.2
5800,тварь,s,16.2
5801,увлекаться,v,16.2
5802,умственный,a,16.2
5803,бетонный,a,16.1
5804,выдумать,v,16.1
5805,душ,s,16.1
5806,заготовка,s,16.1
5807,залив,s,16.1
5808,зло,adv,16.1
5809,испуг,s,16.1
5810,конвенция,s,16.1
5811,медсестра,s,16.1
5812,мрак,s,16.1
5813,мундир,s,16.1
5814,напугать,v,16.1
5815,нарезать,v,16.1
5816,обстоять,v,16.1
5817,ответный,a,16.1
5818,писаться,v,16.1
5819,погрузить,v,16.1
5820,пузырь,s,16.1
5821,расходиться,v,16.1
5822,рыбный,a,16.1
5823,связаться,v,16.1
5824,статуя,s,16.1
5825,тысячелетие,s,16.1
5826,удобство,s,16.1
5827,усилить,v,16.1
5828,аллея,s,16.0
5829,бездна,s,16.0
5830,величество,s,16.0
5831,ветхий,a,16.0
5832,вилка,s,16.0
5833,гул,s,16.0
5834,иерархия,s,16.0
5835,кое-кто,spro,16.0
5836,компетенция,s,16.0
5837,лунный,a,16.0
5838,матушка,s,16.0
5839,молоденький,a,16.0
5840,напиться,v,16.0
5841,нелегкий,a,16.0
5842,неудачный,a,16.0
5843,ничтожный,a,16.0
5844,оплатить,v,16.0
5845,оппонент,s,16.0
5846,отдаленный,a,16.0
5847,петух,s,16.0
5848,пик,s,16.0
5849,пирамида,s,16.0
5850,поведать,v,16.0
5851,покойник,s,16.0
5852,поручик,s,16.0
5853,последовательный,a,16.0
5854,противостояние,s,16.0
5855,разбирательство,s,16.0
5856,рожа,s,16.0
5857,руда,s,16.0
5858,связка,s,16.0
5859,так-то,advpro,16.0
5860,уничтожать,v,16.0
5861,урегулирование,s,16.0
5862,фирменный,a,16.0
5863,фокус,s,16.0
5864,шить,v,16.0
5865,экспертный,a,16.0
5866,абстрактный,a,15.9
5867,агрессивный,a,15.9
5868,аналог,s,15.9
5869,вторичный,a,15.9
5870,занавес,s,15.9
5871,запросто,adv,15.9
5872,знаток,s,15.9
5873,кастрюля,s,15.9
5874,коли,conj,15.9
5875,концерн,s,15.9
5876,мат,s,15.9
5877,монополия,s,15.9
5878,накануне,adv,15.9
5879,насаждение,s,15.9
5880,оборонный,a,15.9
5881,оборудовать,v,15.9
5882,персональный,a,15.9
5883,показ,s,15.9
5884,пол,num,15.9
5885,портить,v,15.9
5886,послевоенный,a,15.9
5887,продолжительность,s,15.9
5888,проработать,v,15.9
5889,резолюция,s,15.9
5890,снижаться,v,15.9
5891,стимулировать,v,15.9
5892,сходиться,v,15.9
5893,творец,s,15.9
5894,уменьшить,v,15.9
5895,щелкнуть,v,15.9
5896,блаженный,a,15.8
5897,вцепиться,v,15.8
5898,вывезти,v,15.8
5899,глоток,s,15.8
5900,едва,conj,15.8
5901,жадно,adv,15.8
5902,жестокость,s,15.8
5903,заключать,v,15.8
5904,колокол,s,15.8
5905,лекарственный,a,15.8
5906,мерседес,s,15.8
5907,овраг,s,15.8
5908,ответчик,s,15.8
5909,племянник,s,15.8
5910,повиснуть,v,15.8
5911,подозрительный,a,15.8
5912,поздороваться,v,15.8
5913,сказочный,a,15.8
5914,столовый,a,15.8
5915,шестнадцать,num,15.8
5916,экскурсия,s,15.8
5917,алюминиевый,a,15.7
5918,барабан,s,15.7
5919,беременность,s,15.7
5920,верхушка,s,15.7
5921,виза,s,15.7
5922,возмещение,s,15.7
5923,ворваться,v,15.7
5924,выстрелить,v,15.7
5925,гибкий,a,15.7
5926,гонщик,s,15.7
5927,гроза,s,15.7
5928,забраться,v,15.7
5929,заданный,a,15.7
5930,занавеска,s,15.7
5931,интенсивность,s,15.7
5932,капитальный,a,15.7
5933,кристалл,s,15.7
5934,металлургический,a,15.7
5935,опять-таки,adv,15.7
5936,орех,s,15.7
5937,отстаивать,v,15.7
5938,песенка,s,15.7
5939,полюс,s,15.7
5940,принцесса,s,15.7
5941,проезд,s,15.7
5942,разложить,v,15.7
5943,русло,s,15.7
5944,скользить,v,15.7
5945,справедливо,adv,15.7
5946,тепловой,a,15.7
5947,утрата,s,15.7
5948,электричка,s,15.7
5949,администратор,s,15.6
5950,благополучный,a,15.6
5951,будка,s,15.6
5952,верста,s,15.6
5953,граната,s,15.6
5954,да-да,part,15.6
5955,дева,s,15.6
5956,заговор,s,15.6
5957,застрять,v,15.6
5958,известность,s,15.6
5959,изобрести,v,15.6
5960,интимный,a,15.6
5961,материнский,a,15.6
5962,мучительно,adv,15.6
5963,неважно,adv,15.6
5964,незадолго,adv,15.6
5965,ненадолго,adv,15.6
5966,обновление,s,15.6
5967,окрестность,s,15.6
5968,олень,s,15.6
5969,оправдание,s,15.6
5970,оранжевый,a,15.6
5971,отвергнуть,v,15.6
5972,относить,v,15.6
5973,пена,s,15.6
5974,писание,s,15.6
5975,помниться,v,15.6
5976,приближение,s,15.6
5977,приоткрыть,v,15.6
5978,прозвище,s,15.6
5979,прохождение,s,15.6
5980,рыдать,v,15.6
5981,сдаться,v,15.6
5982,слыхать,v,15.6
5983,соленый,a,15.6
5984,стража,s,15.6
5985,теряться,v,15.6
5986,толкование,s,15.6
5987,шок,s,15.6
5988,бухгалтер,s,15.5
5989,ввод,s,15.5
5990,возвратиться,v,15.5
5991,возложить,v,15.5
5992,вплотную,adv,15.5
5993,вытирать,v,15.5
5994,догадка,s,15.5
5995,зенитный,a,15.5
5996,икра,s,15.5
5997,кличка,s,15.5
5998,комментировать,v,15.5
5999,континент,s,15.5
6000,линейный,a,15.5
6001,модификация,s,15.5
6002,напасть,v,15.5
6003,наполовину,adv,15.5
6004,настойчиво,adv,15.5
6005,подписывать,v,15.5
6006,поздравить,v,15.5
6007,покрывать,v,15.5
6008,роскошь,s,15.5
6009,рубка,s,15.5
6010,рыбка,s,15.5
6011,сокровище,s,15.5
6012,сработать,v,15.5
6013,твердить,v,15.5
6014,ткнуть,v,15.5
6015,тропинка,s,15.5
6016,трусы,s,15.5
6017,формат,s,15.5
6018,белорусский,a,15.4
6019,биология,s,15.4
6020,босой,a,15.4
6021,ежедневный,a,15.4
6022,зам,s,15.4
6023,катиться,v,15.4
6024,красавец,s,15.4
6025,кушать,v,15.4
6026,новинка,s,15.4
6027,поднести,v,15.4
6028,помидор,s,15.4
6029,попрощаться,v,15.4
6030,прическа,s,15.4
6031,пустынный,a,15.4
6032,рецензия,s,15.4
6033,рубить,v,15.4
6034,салат,s,15.4
6035,терпеливо,adv,15.4
6036,хоронить,v,15.4
6037,экономия,s,15.4
6038,эстрада,s,15.4
6039,аппетит,s,15.3
6040,банда,s,15.3
6041,борец,s,15.3
6042,вылезать,v,15.3
6043,интуиция,s,15.3
6044,контур,s,15.3
6045,маневр,s,15.3
6046,мрачно,adv,15.3
6047,мучиться,v,15.3
6048,наткнуться,v,15.3
6049,обрыв,s,15.3
6050,огненный,a,15.3
6051,отделить,v,15.3
6052,отметка,s,15.3
6053,привыкать,v,15.3
6054,проживание,s,15.3
6055,разрез,s,15.3
6056,разрушать,v,15.3
6057,реветь,v,15.3
6058,ревность,s,15.3
6059,скакать,v,15.3
6060,сотрудничать,v,15.3
6061,сражаться,v,15.3
6062,теракт,s,15.3
6063,уронить,v,15.3
6064,фуражка,s,15.3
6065,хохот,s,15.3
6066,шелковый,a,15.3
6067,шина,s,15.3
6068,больничный,a,15.2
6069,бронзовый,a,15.2
6070,валенок,s,15.2
6071,ввиду,pr,15.2
6072,вертеться,v,15.2
6073,всяческий,a,15.2
6074,выкинуть,v,15.2
6075,выходной,a,15.2
6076,диагностика,s,15.2
6077,заблуждение,s,15.2
6078,заводской,a,15.2
6079,заповедь,s,15.2
6080,излишний,a,15.2
6081,каникулы,s,15.2
6082,комар,s,15.2
6083,контейнер,s,15.2
6084,координата,s,15.2
6085,лопнуть,v,15.2
6086,люк,s,15.2
6087,майка,s,15.2
6088,нары,s,15.2
6089,небось,part,15.2
6090,неправильно,adv,15.2
6091,отработать,v,15.2
6092,парус,s,15.2
6093,перец,s,15.2
6094,пират,s,15.2
6095,пластиковый,a,15.2
6096,презирать,v,15.2
6097,прибежать,v,15.2
6098,расположиться,v,15.2
6099,родительский,a,15.2
6100,сбегать,v,15.2
6101,сегмент,s,15.2
6102,скромно,adv,15.2
6103,смущать,v,15.2
6104,снизиться,v,15.2
6105,стенд,s,15.2
6106,тигр,s,15.2
6107,убедительный,a,15.2
6108,удивлять,v,15.2
6109,упоминаться,v,15.2
6110,устранение,s,15.2
6111,аптека,s,15.1
6112,бак,s,15.1
6113,безумие,s,15.1
6114,будить,v,15.1
6115,вздрагивать,v,15.1
6116,дежурство,s,15.1
6117,залезть,v,15.1
6118,ислам,s,15.1
6119,кирпичный,a,15.1
6120,кустарник,s,15.1
6121,мертвый,s,15.1
6122,мониторинг,s,15.1
6123,ограничивать,v,15.1
6124,отводить,v,15.1
6125,откровение,s,15.1
6126,оцениваться,v,15.1
6127,павильон,s,15.1
6128,подчиненный,s,15.1
6129,помещаться,v,15.1
6130,поплыть,v,15.1
6131,проводник,s,15.1
6132,пространственный,a,15.1
6133,проявиться,v,15.1
6134,ранение,s,15.1
6135,санкция,s,15.1
6136,серебро,s,15.1
6137,составляющая,s,15.1
6138,спустить,v,15.1
6139,схватиться,v,15.1
6140,табличка,s,15.1
6141,тоненький,a,15.1
6142,уделять,v,15.1
6143,валить,v,15.0
6144,взлететь,v,15.0
6145,внушать,v,15.0
6146,глупо,adv,15.0
6147,грядущий,a,15.0
6148,ежели,conj,15.0
6149,закуска,s,15.0
6150,календарь,s,15.0
6151,командный,a,15.0
6152,кулиса,s,15.0
6153,мирно,adv,15.0
6154,неторопливо,adv,15.0
6155,опомниться,v,15.0
6156,орбита,s,15.0
6157,очистка,s,15.0
6158,подмосковный,a,15.0
6159,просвещение,s,15.0
6160,публиковать,v,15.0
6161,расписание,s,15.0
6162,свитер,s,15.0
6163,сотворить,v,15.0
6164,сравнительный,a,15.0
6165,сходный,a,15.0
6166,терраса,s,15.0
6167,укол,s,15.0
6168,упрек,s,15.0
6169,холдинг,s,15.0
6170,цепляться,v,15.0
6171,эхо,s,15.0
6172,атаковать,v,14.9
6173,беременный,a,14.9
6174,грамотный,a,14.9
6175,грусть,s,14.9
6176,достоверный,a,14.9
6177,злиться,v,14.9
6178,количественный,a,14.9
6179,конструктивный,a,14.9
6180,лебедь,s,14.9
6181,наводить,v,14.9
6182,немногий,apro,14.9
6183,оправдываться,v,14.9
6184,отделять,v,14.9
6185,первое,s,14.9
6186,поставлять,v,14.9
6187,пошутить,v,14.9
6188,прекратиться,v,14.9
6189,призрак,s,14.9
6190,работодатель,s,14.9
6191,разработчик,s,14.9
6192,репетировать,v,14.9
6193,ритуал,s,14.9
6194,сказываться,v,14.9
6195,склониться,v,14.9
6196,стая,s,14.9
6197,схватка,s,14.9
6198,террор,s,14.9
6199,тревожить,v,14.9
6200,ударный,a,14.9
6201,упереться,v,14.9
6202,хутор,s,14.9
6203,биржа,s,14.8
6204,взыскание,s,14.8
6205,вице-президент,s,14.8
6206,героический,a,14.8
6207,гимн,s,14.8
6208,диктовать,v,14.8
6209,дремать,v,14.8
6210,задержка,s,14.8
6211,зарасти,v,14.8
6212,исток,s,14.8
6213,критиковать,v,14.8
6214,лишать,v,14.8
6215,мощь,s,14.8
6216,налет,s,14.8
6217,научно-технический,a,14.8
6218,носиться,v,14.8
6219,обречь,v,14.8
6220,обрушиться,v,14.8
6221,ограничиться,v,14.8
6222,одеться,v,14.8
6223,пересмотр,s,14.8
6224,пионер,s,14.8
6225,подставить,v,14.8
6226,подчинить,v,14.8
6227,прижимать,v,14.8
6228,припомнить,v,14.8
6229,путать,v,14.8
6230,сократиться,v,14.8
6231,сонный,a,14.8
6232,сытый,a,14.8
6233,увлечь,v,14.8
6234,удаляться,v,14.8
6235,бал,s,14.7
6236,братец,s,14.7
6237,виднеться,v,14.7
6238,всячески,adv,14.7
6239,грек,s,14.7
6240,губерния,s,14.7
6241,джип,s,14.7
6242,дирижер,s,14.7
6243,железа,s,14.7
6244,загнать,v,14.7
6245,запланировать,v,14.7
6246,инспекция,s,14.7
6247,итальянец,s,14.7
6248,неповторимый,a,14.7
6249,новичок,s,14.7
6250,обладатель,s,14.7
6251,обочина,s,14.7
6252,окоп,s,14.7
6253,перебраться,v,14.7
6254,плясать,v,14.7
6255,побережье,s,14.7
6256,погибать,v,14.7
6257,поперечный,a,14.7
6258,постигнуть,v,14.7
6259,предвидеть,v,14.7
6260,приемная,s,14.7
6261,прихватить,v,14.7
6262,пробежать,v,14.7
6263,прорыв,s,14.7
6264,разбитый,a,14.7
6265,руководящий,a,14.7
6266,семнадцать,num,14.7
6267,смутиться,v,14.7
6268,совпасть,v,14.7
6269,тормоз,s,14.7
6270,фасад,s,14.7
6271,чувствительный,a,14.7
6272,аналогия,s,14.6
6273,бережно,adv,14.6
6274,бодрый,a,14.6
6275,буржуазный,a,14.6
6276,восстание,s,14.6
6277,вырастать,v,14.6
6278,дерьмо,s,14.6
6279,добровольно,adv,14.6
6280,допустимый,a,14.6
6281,истец,s,14.6
6282,космонавт,s,14.6
6283,кухонный,a,14.6
6284,маг,s,14.6
6285,моментально,adv,14.6
6286,наливать,v,14.6
6287,пошлина,s,14.6
6288,пытка,s,14.6
6289,ржавый,a,14.6
6290,сервис,s,14.6
6291,скамья,s,14.6
6292,смелость,s,14.6
6293,стремительный,a,14.6
6294,табуретка,s,14.6
6295,тост,s,14.6
6296,турок,s,14.6
6297,тусклый,a,14.6
6298,ура,intj,14.6
6299,фильтр,s,14.6
6300,хлопоты,s,14.6
6301,античный,a,14.5
6302,ассортимент,s,14.5
6303,возмущаться,v,14.5
6304,воробей,s,14.5
6305,высказывать,v,14.5
6306,вяло,adv,14.5
6307,гимназия,s,14.5
6308,гонять,v,14.5
6309,донести,v,14.5
6310,загрязнение,s,14.5
6311,заказывать,v,14.5
6312,зачем-то,advpro,14.5
6313,котенок,s,14.5
6314,мистер,s,14.5
6315,много,advpro,14.5
6316,научно-исследовательский,a,14.5
6317,невыносимый,a,14.5
6318,негр,s,14.5
6319,нервно,adv,14.5
6320,низко,adv,14.5
6321,оборвать,v,14.5
6322,пехота,s,14.5
6323,плавно,adv,14.5
6324,презрение,s,14.5
6325,преодолевать,v,14.5
6326,претендент,s,14.5
6327,прирост,s,14.5
6328,присвоить,v,14.5
6329,ребятишки,s,14.5
6330,сварить,v,14.5
6331,сдвинуть,v,14.5
6332,согласовать,v,14.5
6333,стон,s,14.5
6334,сухо,adv,14.5
6335,треугольник,s,14.5
6336,тридцатый,anum,14.5
6337,трудящийся,s,14.5
6338,увлечься,v,14.5
6339,удовлетворять,v,14.5
6340,участь,s,14.5
6341,альтернатива,s,14.4
6342,анкета,s,14.4
6343,безнадежный,a,14.4
6344,бутерброд,s,14.4
6345,возмущение,s,14.4
6346,выбрасывать,v,14.4
6347,выучить,v,14.4
6348,гепатит,s,14.4
6349,грудной,a,14.4
6350,доехать,v,14.4
6351,интеллект,s,14.4
6352,невероятно,adv,14.4
6353,отразиться,v,14.4
6354,переходный,a,14.4
6355,писательский,a,14.4
6356,погаснуть,v,14.4
6357,подчас,adv,14.4
6358,последовательно,adv,14.4
6359,предательство,s,14.4
6360,пристально,adv,14.4
6361,промысел,s,14.4
6362,райком,s,14.4
6363,сало,s,14.4
6364,снести,v,14.4
6365,сторож,s,14.4
6366,террористический,a,14.4
6367,уменьшаться,v,14.4
6368,человечек,s,14.4
6369,ваза,s,14.3
6370,виртуальный,a,14.3
6371,включаться,v,14.3
6372,волокно,s,14.3
6373,грузин,s,14.3
6374,двигать,v,14.3
6375,игла,s,14.3
6376,курсант,s,14.3
6377,магический,a,14.3
6378,магнитофон,s,14.3
6379,однозначно,adv,14.3
6380,определиться,v,14.3
6381,оскорбить,v,14.3
6382,отзываться,v,14.3
6383,пальма,s,14.3
6384,позабыть,v,14.3
6385,прислушаться,v,14.3
6386,притом,conj,14.3
6387,символический,a,14.3
6388,складка,s,14.3
6389,социологический,a,14.3
6390,спохватиться,v,14.3
6391,сумочка,s,14.3
6392,теща,s,14.3
6393,уставать,v,14.3
6394,хронический,a,14.3
6395,цифровой,a,14.3
6396,шедевр,s,14.3
6397,этика,s,14.3
6398,юстиция,s,14.3
6399,бес,s,14.2
6400,веселье,s,14.2
6401,весы,s,14.2
6402,виски,s,14.2
6403,гибнуть,v,14.2
6404,живо,adv,14.2
6405,жрать,v,14.2
6406,замкнутый,a,14.2
6407,изъять,v,14.2
6408,исчезновение,s,14.2
6409,назначать,v,14.2
6410,неподвижно,adv,14.2
6411,обком,s,14.2
6412,объективно,adv,14.2
6413,оперный,a,14.2
6414,оплачивать,v,14.2
6415,персона,s,14.2
6416,полярный,a,14.2
6417,поморщиться,v,14.2
6418,правосудие,s,14.2
6419,предпосылка,s,14.2
6420,проститутка,s,14.2
6421,прочно,adv,14.2
6422,равнодушно,adv,14.2
6423,реализоваться,v,14.2
