index,Лемма,Часть речи,Частота (ipm)
267,пока,conj,366.3
268,средство,s,363.9
269,помнить,v,363.1
270,начало,s,361.4
271,ждать,v,360.2
272,свет,s,359.7
273,пора,s,358.2
274,путь,s,357.3
275,душа,s,356.8
276,куда,advpro,355.4
277,нужно,adv,353.7
278,разный,a,352.6
279,нужный,a,351.9
280,уровень,s,348.5
281,иной,apro,348.3
282,форма,s,347.8
283,связь,s,346.1
284,уж,part,344.4
285,минута,s,344.2
286,кроме,pr,343.6
287,находиться,v,342.7
288,опять,adv,342.2
289,многий,apro,340.9
290,белый,a,339.6
291,собственный,a,338.3
292,улица,s,337.8
293,черный,a,337.5
294,написать,v,336.2
295,вечер,s,335.4
296,снова,adv,334.4
297,основной,a,334.1
298,качество,s,331.7
299,мысль,s,331.6
300,дорога,s,330.1
301,мать,s,330.1
302,действие,s,329.3
303,месяц,s,328.0
304,оставаться,v,327.4
305,государство,s,326.4
306,язык,s,324.9
307,любовь,s,323.9
308,взгляд,s,323.8
309,мама,s,322.6
310,играть,v,319.1
311,далекий,a,318.3
312,лежать,v,318.1
313,нельзя,adv,317.7
314,век,s,317.4
315,школа,s,316.0
316,подумать,v,315.6
317,уйти,v,315.6
318,цель,s,315.5
319,среди,pr,314.9
320,общество,s,314.7
321,посмотреть,v,314.2
322,деятельность,s,313.5
323,организация,s,312.4
324,кто-то,spro,312.0
325,вернуться,v,311.2
326,президент,s,311.0
327,комната,s,310.7
328,порядок,s,307.6
329,момент,s,306.8
330,театр,s,305.3
331,следовать,v,305.1
332,читать,v,304.4
333,письмо,s,304.3
334,подобный,a,301.6
335,следующий,a,301.4
336,утро,s,301.3
337,особенно,adv,300.3
338,помощь,s,300.1
339,ситуация,s,298.8
340,роль,s,297.9
341,бывать,v,297.3
342,ходить,v,296.6
343,рубль,s,296.4
344,начинать,v,296.0
345,появиться,v,294.6
346,смысл,s,294.6
347,состояние,s,294.4
348,называть,v,293.4
349,рядом,adv,291.8
350,квартира,s,290.9
351,назад,adv,290.7
352,равный,a,289.7
353,из-за,pr,289.6
354,орган,s,288.4
355,внимание,s,286.0
356,тело,s,285.9
357,труд,s,285.9
358,прийтись,v,285.5
359,хотеться,v,285.3
360,сын,s,285.1
361,мера,s,284.3
362,пять,num,284.3
363,смерть,s,284.1
364,живой,a,284.0
365,рынок,s,283.3
366,программа,s,282.6
367,задача,s,282.4
368,предприятие,s,281.6
369,известный,a,281.1
370,окно,s,280.8
371,вести,v,280.3
372,совершенно,adv,280.3
373,военный,a,278.7
374,разговор,s,278.3
375,показать,v,277.7
376,правительство,s,277.7
377,важный,a,277.0
378,семья,s,276.6
379,великий,a,276.3
380,производство,s,275.6
381,простой,a,275.3
382,значит,adv,274.9
383,третий,anum,274.7
384,сколько,num,273.4
385,огромный,a,272.1
386,давно,adv,272.0
387,политический,a,269.6
388,информация,s,269.2
389,действительно,adv,268.6
390,положение,s,268.2
391,поставить,v,267.3
392,бояться,v,266.5
393,наконец,adv,265.9
394,центр,s,265.9
395,происходить,v,263.6
396,ответ,s,263.3
397,муж,s,263.0
398,автор,s,262.1
399,все-таки,part,261.3
400,стена,s,261.0
401,существовать,v,260.9
402,даже,conj,260.6
403,интерес,s,260.6
404,становиться,v,259.3
405,федерация,s,258.9
406,правило,s,258.8
407,оба,num,258.1
408,часто,adv,257.8
409,московский,a,257.3
410,управление,s,256.5
411,слышать,v,256.1
412,быстро,adv,255.7
413,смочь,v,255.1
414,заметить,v,253.9
415,как-то,advpro,253.2
416,мужчина,s,253.2
417,долго,adv,253.1
418,правда,adv,252.4
419,идея,s,250.8
420,партия,s,250.4
421,иногда,adv,249.8
422,использовать,v,249.6
423,пытаться,v,249.4
424,готовый,a,248.5
425,чуть,adv,248.3
426,зачем,advpro,247.7
427,представить,v,247.2
428,чувствовать,v,246.9
429,создать,v,245.9
430,совет,s,245.5
431,счет,s,245.4
432,сердце,s,245.1
433,движение,s,244.7
434,вещь,s,242.5
435,материал,s,242.4
436,неделя,s,242.2
437,чувство,s,242.2
438,затем,adv,241.3
439,данный,apro,241.1
440,заниматься,v,240.8
441,продолжать,v,240.6
442,красный,a,240.5
443,глава,s,240.2
444,ко,pr,239.7
445,слушать,v,239.5
446,наука,s,239.0
447,узнать,v,238.1
448,ряд,s,238.0
449,газета,s,237.5
450,причина,s,237.2
451,против,pr,236.5
452,плечо,s,236.4
453,современный,a,236.1
454,цена,s,236.1
455,план,s,235.3
456,приехать,v,234.4
457,речь,s,234.2
458,четыре,num,232.7
459,отвечать,v,232.4
460,точка,s,232.2
461,основа,s,231.0
462,товарищ,s,230.6
463,культура,s,230.2
464,слишком,adv,230.1
465,рассказывать,v,230.0
466,вполне,adv,229.8
467,далее,adv,229.6
468,рассказать,v,229.4
469,данные,s,229.0
470,представлять,v,228.5
471,мнение,s,228.4
472,социальный,a,228.2
473,около,pr,228.1
474,документ,s,226.8
475,институт,s,226.5
476,ход,s,226.5
477,брать,v,226.3
478,забыть,v,226.0
479,проект,s,225.9
480,ранний,a,225.7
481,встреча,s,224.9
482,особый,a,224.3
483,целый,a,222.5
484,директор,s,222.2
485,провести,v,222.0
486,спать,v,221.9
487,плохой,a,221.6
488,может,adv,221.0
489,впрочем,adv,220.7
490,сильный,a,220.5
491,наверное,adv,220.2
492,скорый,a,220.0
493,ведь,conj,219.9
494,срок,s,219.7
495,палец,s,219.1
496,опыт,s,218.8
497,помочь,v,218.8
498,больше,num,218.7
499,приходить,v,218.2
500,служба,s,218.1
501,крупный,a,217.3
502,внутренний,a,216.1
503,просить,v,215.9
504,вспомнить,v,215.5
505,открыть,v,214.8
506,привести,v,214.7
507,судьба,s,213.9
508,пока,adv,213.4
509,девушка,s,213.3
510,поскольку,conj,212.8
511,очередь,s,212.5
512,лес,s,211.5
513,пусть,part,211.0
514,экономический,a,210.6
515,оставить,v,210.5
516,правый,a,210.4
517,состав,s,209.8
518,словно,conj,209.2
519,федеральный,a,208.9
520,спрашивать,v,208.3
521,принимать,v,207.7
522,член,s,207.4
523,искать,v,206.9
524,близкий,a,206.8
525,количество,s,206.7
526,похожий,a,206.5
527,событие,s,206.5
528,объект,s,206.4
529,зал,s,206.3
530,создание,s,206.1
531,войти,v,205.5
532,различный,a,205.5
533,значение,s,205.1
534,назвать,v,205.1
535,достаточно,adv,204.7
536,период,s,204.2
537,хоть,part,203.9
538,шаг,s,203.8
539,необходимый,a,203.7
540,успеть,v,203.4
541,произойти,v,203.2
542,брат,s,203.0
543,искусство,s,202.6
544,единственный,a,202.2
545,легкий,a,202.1
546,структура,s,202.1
547,выходить,v,201.6
548,номер,s,201.2
549,предложить,v,201.2
550,пример,s,201.2
551,пить,v,200.9
552,исследование,s,200.5
553,гражданин,s,199.4
554,глядеть,v,199.3
555,человеческий,a,199.3
556,игра,s,199.0
557,начальник,s,198.9
558,сей,apro,198.6
559,рост,s,198.4
560,ехать,v,198.2
561,международный,a,198.2
562,тема,s,198.1
563,принцип,s,197.9
564,дорогой,a,197.7
565,попасть,v,197.7
566,десять,num,197.4
567,начаться,v,197.4
568,верить,v,197.1
569,метод,s,197.0
570,тип,s,197.0
571,фильм,s,196.8
572,небольшой,a,196.6
573,держать,v,196.5
574,либо,conj,195.7
575,позволять,v,194.3
576,край,s,194.0
577,местный,a,193.3
578,менее,adv,192.9
579,гость,s,192.7
580,купить,v,192.7
581,уходить,v,192.7
582,собираться,v,192.6
583,воздух,s,192.2
584,туда,advpro,191.7
585,относиться,v,191.6
586,бывший,a,191.5
587,требовать,v,190.9
588,характер,s,190.7
589,борьба,s,190.5
590,использование,s,190.3
591,кстати,adv,190.3
592,подойти,v,190.0
593,размер,s,189.3
594,удаться,v,189.1
595,образование,s,188.9
596,получать,v,188.2
597,мальчик,s,188.0
598,кровь,s,187.8
599,район,s,187.8
600,небо,s,187.6
601,американский,a,186.5
602,армия,s,186.4
603,класс,s,185.8
604,представитель,s,185.7
605,участие,s,185.6
606,девочка,s,185.1
607,политика,s,184.9
608,сначала,adv,184.6
609,герой,s,184.0
610,картина,s,183.9
611,широкий,a,183.9
612,доллар,s,183.1
613,спина,s,183.1
614,территория,s,182.9
615,мировой,a,182.3
616,пол,s,181.9
617,тяжелый,a,180.3
618,довольно,adv,180.2
619,поле,s,180.2
620,ж,part,179.9
621,изменение,s,179.8
622,умереть,v,179.7
623,более,num,179.2
624,направление,s,179.2
625,рисунок,s,179.2
626,течение,s,179.2
627,возможный,a,179.1
628,церковь,s,178.6
629,банк,s,178.1
630,отдельный,a,177.5
631,средний,a,177.3
632,красивый,a,177.2
633,сцена,s,177.2
634,население,s,176.5
635,большинство,s,176.1
636,сесть,v,175.9
637,двадцать,num,175.8
638,случиться,v,175.8
639,музыка,s,175.7
640,короткий,a,175.6
641,правда,s,175.5
642,проходить,v,175.4
643,составлять,v,175.0
644,свобода,s,174.9
645,память,s,174.5
646,приходиться,v,174.5
647,причем,conj,174.4
648,команда,s,174.2
649,установить,v,174.0
650,союз,s,173.9
651,будто,conj,173.8
652,поднять,v,173.8
653,врач,s,173.1
654,серьезный,a,173.0
655,договор,s,172.8
656,стараться,v,172.8
657,уметь,v,172.5
658,встать,v,172.1
659,дерево,s,171.9
660,интересный,a,171.9
661,факт,s,171.3
662,добрый,a,171.1
663,всего,part,170.7
664,хозяин,s,170.6
665,национальный,a,170.3
666,однажды,adv,170.2
667,длинный,a,170.1
668,природа,s,169.9
669,домой,adv,169.6
670,страшный,a,169.1
671,прошлый,a,169.0
672,будто,part,168.5
673,общественный,a,168.1
674,угол,s,168.1
675,чтоб,conj,168.0
676,телефон,s,167.8
677,позиция,s,167.6
678,проводить,v,167.6
679,скоро,adv,167.3
680,наиболее,adv,167.2
681,двор,s,166.9
682,обычно,adv,166.7
683,бросить,v,166.5
684,разве,part,166.4
685,писатель,s,166.3
686,самолет,s,166.1
687,объем,s,165.8
688,далеко,adv,165.5
689,род,s,165.5
